,index,Title,Movie Link,Year,Duration,MPA,Rating,Votes
49,231,232. Gossamer Folds,https://www.imdb.com/title/tt9337518/?ref_=sr_t_232,2020,1h 36m,,6.9,135
50,526,527. All the Lost Ones,https://www.imdb.com/title/tt22002058/?ref_=sr_t_527,2024,1h 45m,,4.3,137
51,363,364. Endless Rain,https://www.imdb.com/title/tt14540764/?ref_=sr_t_364,2021,1h 57m,,6.7,494
52,270,271. 365 Days,https://www.imdb.com/title/tt10886166/?ref_=sr_t_271,2020,1h 54m,TV-MA,3.3,102K
53,125,126. Stree 2: Sarkate Ka Aatank,https://www.imdb.com/title/tt27510174/?ref_=sr_t_126,2024,2h 27m,,7.0,39K
54,322,323. Subservience,https://www.imdb.com/title/tt24871974/?ref_=sr_t_323,2024,1h 46m,R,5.4,20K
55,21,22. The Addams Family 2,https://www.imdb.com/title/tt11125620/?ref_=sr_t_22,2021,1h 33m,PG,5.4,16K
56,218,219. Carlos,https://www.imdb.com/title/tt20417104/?ref_=sr_t_219,2023,1h 27m,R,7.2,383
57,455,456. The Advent Calendar,https://www.imdb.com/title/tt12496706/?ref_=sr_t_456,2021,1h 44m,,6.3,6.8K
58,134,135. No Man's Land,https://www.imdb.com/title/tt10449052/?ref_=sr_t_135,2020,1h 54m,PG-13,5.4,1.4K
59,33,34. Downhill,https://www.imdb.com/title/tt4558376/?ref_=sr_t_34,2020,1h 26m,R,4.9,14K
60,438,439. Unfrosted,https://www.imdb.com/title/tt14914430/?ref_=sr_t_439,2024,1h 37m,PG-13,5.5,33K
61,378,379. Lift,https://www.imdb.com/title/tt14371878/?ref_=sr_t_379,2024,1h 47m,PG-13,5.5,47K
62,510,511. What Remains,https://www.imdb.com/title/tt15825188/?ref_=sr_t_511,2022,2h 6m,,5.1,346
63,558,559. The Offering,https://www.imdb.com/title/tt13103732/?ref_=sr_t_559,2022,1h 33m,R,5.3,7.9K
64,416,417. Let Them All Talk,https://www.imdb.com/title/tt10808832/?ref_=sr_t_417,2020,1h 53m,R,6.1,13K
65,581,582. Corner Office,https://www.imdb.com/title/tt13849558/?ref_=sr_t_582,2022,1h 41m,PG-13,6.1,5.8K
66,38,39. Cocaine Bear,https://www.imdb.com/title/tt14209916/?ref_=sr_t_39,2023,1h 35m,R,5.9,116K
67,462,463. Mothers' Instinct,https://www.imdb.com/title/tt13397574/?ref_=sr_t_463,2024,1h 34m,R,6.3,17K
68,95,96. Infamous,https://www.imdb.com/title/tt7703924/?ref_=sr_t_96,2020,1h 40m,Not Rated,4.3,3.6K
69,450,451. The Paragon,https://www.imdb.com/title/tt27867099/?ref_=sr_t_451,2023,1h 25m,,6.9,109
70,234,235. God & Country,https://www.imdb.com/title/tt29259251/?ref_=sr_t_235,2024,1h 30m,PG-13,6.2,1.1K
71,381,382. The Secret: Dare to Dream,https://www.imdb.com/title/tt4411584/?ref_=sr_t_382,2020,1h 47m,PG,6.5,19K
72,554,555. Turtles All the Way Down,https://www.imdb.com/title/tt7737224/?ref_=sr_t_555,2024,1h 51m,PG-13,6.6,6.4K
73,194,195. Tyson's Run,https://www.imdb.com/title/tt3580748/?ref_=sr_t_195,2022,1h 43m,PG,6.1,1.8K
74,300,301. Divinity,https://www.imdb.com/title/tt15444046/?ref_=sr_t_301,2023,1h 28m,,5.3,1.3K
75,256,257. Mermaid in Paris,https://www.imdb.com/title/tt9209312/?ref_=sr_t_257,2020,1h 42m,Not Rated,5.7,1.1K
76,219,220. Get Away,https://www.imdb.com/title/tt10449276/?ref_=sr_t_220,2024,1h 26m,R,5.8,327
77,599,600. Jingle Bells,https://www.imdb.com/title/tt21876846/?ref_=sr_t_600,2022,1h 38m,,5.5,259
78,287,288. Birth/Rebirth,https://www.imdb.com/title/tt9048804/?ref_=sr_t_288,2023,1h 41m,R,6.2,7.5K
79,272,273. Altered Reality,https://www.imdb.com/title/tt12004238/?ref_=sr_t_273,2024,1h 39m,,6.3,54
80,456,457. Classified,https://www.imdb.com/title/tt27714840/?ref_=sr_t_457,2024,1h 45m,R,3.7,1.6K
81,535,536. Climax,https://www.imdb.com/title/tt12357758/?ref_=sr_t_536,2020,52m,,2.1,402
82,284,285. Extraction,https://www.imdb.com/title/tt8936646/?ref_=sr_t_285,2020,1h 56m,R,6.8,273K
83,226,227. All My Friends Hate Me,https://www.imdb.com/title/tt9340892/?ref_=sr_t_227,2021,1h 33m,R,6.3,6.8K
84,204,205. Holy Spider,https://www.imdb.com/title/tt18550140/?ref_=sr_t_205,2022,1h 58m,,7.3,28K
85,223,224. Memory,https://www.imdb.com/title/tt19864828/?ref_=sr_t_224,2023,1h 43m,R,6.7,8K
86,220,221. The Beast,https://www.imdb.com/title/tt14407336/?ref_=sr_t_221,2023,2h 26m,Unrated,6.5,7.9K
87,286,287. Enola Holmes,https://www.imdb.com/title/tt7846844/?ref_=sr_t_287,2020,2h 3m,PG-13,6.6,229K
88,333,334. American Traitor: The Trial of Axis Sally,https://www.imdb.com/title/tt7050946/?ref_=sr_t_334,2021,1h 49m,R,5.7,3.4K
89,583,584. Stars at Noon,https://www.imdb.com/title/tt10354106/?ref_=sr_t_584,2022,2h 15m,R,5.5,4.2K
90,596,597. Nr. 24,https://www.imdb.com/title/tt23782584/?ref_=sr_t_597,2024,1h 51m,,7.7,3.4K
91,53,54. The Creator,https://www.imdb.com/title/tt11858890/?ref_=sr_t_54,2023,2h 13m,PG-13,6.7,178K
92,317,318. The Forgotten Battle,https://www.imdb.com/title/tt10521092/?ref_=sr_t_318,2020,2h 4m,TV-MA,7.1,38K
93,466,467. Christmas with the Campbells,https://www.imdb.com/title/tt17542540/?ref_=sr_t_467,2022,1h 28m,Not Rated,5.4,2.3K
94,239,240. Make Me Famous,https://www.imdb.com/title/tt4939232/?ref_=sr_t_240,2021,1h 33m,,7.3,142
95,164,165. Waterman,https://www.imdb.com/title/tt13840624/?ref_=sr_t_165,2021,1h 28m,,8.2,228
96,402,403. Carole King Home Again: Live in Central Park,https://www.imdb.com/title/tt26420051/?ref_=sr_t_403,2023,1h 19m,,7.4,80
97,419,420. Omen,https://www.imdb.com/title/tt21086802/?ref_=sr_t_420,2023,1h 32m,,5.9,1K
98,79,80. Aline,https://www.imdb.com/title/tt9735462/?ref_=sr_t_80,2020,2h 6m,PG-13,6.3,3.5K
99,247,248. Bump Kowalski and the Ten Commandments,https://www.imdb.com/title/tt10777472/?ref_=sr_t_248,2020,1h 24m,,,
100,428,429. Khadaan,https://www.imdb.com/title/tt30701950/?ref_=sr_t_429,2024,2h 17m,,7.5,1.3K
101,431,432. Trapped Inn,https://www.imdb.com/title/tt13598996/?ref_=sr_t_432,2024,1h 55m,,2.8,635
102,496,497. Totally Killer,https://www.imdb.com/title/tt11426232/?ref_=sr_t_497,2023,1h 46m,R,6.5,60K
103,565,566. The Mouse Trap,https://www.imdb.com/title/tt30743549/?ref_=sr_t_566,2024,1h 20m,Not Rated,2.5,2.5K
104,421,422. CODA,https://www.imdb.com/title/tt10366460/?ref_=sr_t_422,2021,1h 51m,PG-13,8.0,173K
105,475,476. The Ice Road,https://www.imdb.com/title/tt3758814/?ref_=sr_t_476,2021,1h 49m,PG-13,5.6,51K
106,296,297. Lingui,https://www.imdb.com/title/tt13846546/?ref_=sr_t_297,2021,1h 27m,,6.8,1.3K
107,444,445. Outside,https://www.imdb.com/title/tt32389619/?ref_=sr_t_445,2024,2h 22m,TV-MA,5.1,4K
108,297,298. The Crime Is Mine,https://www.imdb.com/title/tt20330434/?ref_=sr_t_298,2023,1h 42m,,6.5,6K
109,565,566. Gabriel's Inferno: Part Three,https://www.imdb.com/title/tt13535456/?ref_=sr_t_566,2020,1h 42m,R,6.5,1.5K
110,376,377. A Banquet,https://www.imdb.com/title/tt11400902/?ref_=sr_t_377,2021,1h 37m,,4.7,1.5K
111,408,409. The Swing of Things,https://www.imdb.com/title/tt6833470/?ref_=sr_t_409,2020,1h 33m,R,3.0,2K
112,164,165. The Outrun,https://www.imdb.com/title/tt11687002/?ref_=sr_t_165,2024,1h 58m,R,6.9,9.9K
113,371,372. The Program,https://www.imdb.com/title/tt33549764/?ref_=sr_t_372,2024,1h 42m,,7.1,443
114,411,412. Home Sweet Home Alone,https://www.imdb.com/title/tt11012066/?ref_=sr_t_412,2021,1h 33m,PG,3.6,22K
115,283,284. Tokyo Cowboy,https://www.imdb.com/title/tt22815732/?ref_=sr_t_284,2023,1h 58m,PG,7.4,184
116,549,550. The Santa Box,https://www.imdb.com/title/tt12065192/?ref_=sr_t_550,2020,1h 30m,,6.5,255
117,259,260. After Yang,https://www.imdb.com/title/tt8633464/?ref_=sr_t_260,2021,1h 36m,PG,6.6,24K
118,568,569. Beatles '64,https://www.imdb.com/title/tt33986138/?ref_=sr_t_569,2024,1h 46m,,7.2,1.9K
119,365,366. The Absence of Eden,https://www.imdb.com/title/tt10353588/?ref_=sr_t_366,2023,1h 25m,R,4.8,528
120,174,175. 2022 Oscar Nominated Short Films: Documentary,https://www.imdb.com/title/tt18270458/?ref_=sr_t_175,2022,2h 37m,,7.7,14
121,541,542. A Creature Was Stirring,https://www.imdb.com/title/tt11050992/?ref_=sr_t_542,2023,1h 36m,R,4.6,1.2K
122,69,70. All My Life,https://www.imdb.com/title/tt8305852/?ref_=sr_t_70,2020,1h 31m,PG-13,6.3,6.4K
123,392,393. Antebellum,https://www.imdb.com/title/tt10065694/?ref_=sr_t_393,2020,1h 45m,R,5.8,31K
124,247,248. Son,https://www.imdb.com/title/tt5624466/?ref_=sr_t_248,2021,1h 38m,Not Rated,5.6,6.6K
125,367,368. Italian Studies,https://www.imdb.com/title/tt9893084/?ref_=sr_t_368,2021,1h 21m,,4.7,891
126,162,163. Come True,https://www.imdb.com/title/tt7026488/?ref_=sr_t_163,2020,1h 45m,Unrated,6.0,12K
127,188,189. Rumours,https://www.imdb.com/title/tt30841606/?ref_=sr_t_189,2024,1h 44m,R,5.1,3.2K
128,26,27. The Equalizer 3,https://www.imdb.com/title/tt17024450/?ref_=sr_t_27,2023,1h 49m,R,6.8,138K
129,103,104. Children of the Corn,https://www.imdb.com/title/tt12311866/?ref_=sr_t_104,2020,1h 33m,R,3.7,4.8K
130,540,541. This Time Next Year,https://www.imdb.com/title/tt16301164/?ref_=sr_t_541,2024,1h 56m,,5.6,1.6K
131,533,534. Dashing Through the Snow,https://www.imdb.com/title/tt5608166/?ref_=sr_t_534,2023,1h 32m,PG,5.6,4K
132,305,306. We Can Be Heroes,https://www.imdb.com/title/tt10600398/?ref_=sr_t_306,2020,1h 40m,PG,4.7,18K
